id,trial,aAngHG_oHead,aAngHG_oMid,aAngHG_oReach,aAngHGFeed1,aAngHGFeed2,aAngHGFeed3,aAngHGFeed4,aDistReach_1,aDistReach_2,aDistReach_3,aDistReach_4,oAngHGFeed1,oAngHGFeed2,oAngHGFeed3,oAngHGFeed4,oDistReach1,oDistReach2,oDistReach3,oDistReach4,s_1,s_2,s_3,s_4,b_1,b_2,b_3,b_4
54604,6,56.38790062,57.88559259,68.48646706,79.2134792,73.51337532,60.31003481,55.97051555,0.570573146,0.515180837,0.344973108,0.378938126,56.20726091,22.50573327,20.63592276,24.1766287,0.162862682,0.049469206,0.152354944,0.277792498,0,0,0,0,0,0,0,0
54605,6,55.29089485,56.34792921,66.72672891,77.7518618,71.73550614,58.48338132,54.00780608,0.568049537,0.505392735,0.33582761,0.361416259,56.28754494,22.57674752,20.48268964,24.02824798,0.162704542,0.050137309,0.151708054,0.27763033,0,0,0,0,0,0,0,0
54606,6,53.70874513,54.32540912,64.46515573,75.77449501,69.42702642,56.13393252,51.59596815,0.562620725,0.487117937,0.319735405,0.329659859,56.18247729,22.59329369,20.53491412,24.01036583,0.163323658,0.050114891,0.151035314,0.276895729,0,0,0,0,0,0,0,0
54607,6,52.66233344,52.9178743,62.79052714,74.36762934,67.71368228,54.38736396,49.69365697,0.560324751,0.475704869,0.311752721,0.309313602,56.0727123,22.51935505,20.60170124,24.0770301,0.164598083,0.049834251,0.150127555,0.275610161,0,0,0,0,0,0,0,0
54608,6,51.33614549,51.23449668,60.91599845,72.70541176,65.84273076,52.48937533,47.82246762,0.555378444,0.462664354,0.299843194,0.286211725,55.75975416,22.31290332,20.64698179,24.1867744,0.166163468,0.049706461,0.148933076,0.27401539,0,0,0,0,0,0,1,0
54609,6,49.54196151,48.94580836,58.15199123,70.43418703,63.16456098,49.79461272,44.99205378,0.561048953,0.45869366,0.298141261,0.267053068,55.63078879,22.27470485,20.38512215,24.05352387,0.168803346,0.050160539,0.147415345,0.271723462,0,0,0,0,0,0,1,0
54610,6,48.45438744,47.13177089,55.97165744,68.79101738,60.97439766,47.60847321,42.30795837,0.5667745,0.457027001,0.3005904,0.255308028,55.36040672,22.09696728,20.47895284,24.17362006,0.16924797,0.051093695,0.146167225,0.270932081,0,0,0,0,0,0,1,0
54611,6,46.73782703,44.79214719,53.26834061,66.49937533,58.20980931,44.85958378,39.29442035,0.568002791,0.455843094,0.298613961,0.248097391,55.07408937,21.95247687,20.46115141,24.23566639,0.169971635,0.051153395,0.145670873,0.2702351,0,0,0,0,0,0,1,0
54612,6,45.58546681,42.42138617,50.44260525,64.43110362,55.34305535,42.07191603,35.63205318,0.560888116,0.445526023,0.288159028,0.232594905,54.76564279,21.74880532,20.40139236,24.32995288,0.169012886,0.053469118,0.144165979,0.270415848,0,0,0,0,0,0,1,0
54613,6,45.32610151,42.65068986,50.89966918,64.62982201,56.06710277,42.72591246,37.03331375,0.560529473,0.441763326,0.28595313,0.223592072,54.58049358,21.71465163,20.48887287,24.30823409,0.1677112,0.056807703,0.143475106,0.271514887,0,0,0,0,0,0,1,0
54614,6,44.23950553,39.55050068,46.51861702,61.5168456,51.30808898,38.2518764,30.38494248,0.5617456,0.446045582,0.28965847,0.233497519,54.53022054,21.62766553,20.61399396,24.43321203,0.167359511,0.057688054,0.142832913,0.271549388,0,0,0,0,0,0,1,0
