id,trial,headFront_x,headFront_y,headFront_z,neck_x,neck_y,neck_z,lowerBack_x,lowerBack_y,lowerBack_z,leftWrist_x,leftWrist_y,leftWrist_z,leftShoulder_x,leftShoulder_y,leftShoulder_z,leftElbow_x,leftElbow_y,leftElbow_z,s_1,s_2,s_3,s_4
16819,18,-345.9376221,-376.3891602,2026.362427,-298.7578125,-345.7457886,1823.60791,-358.3565674,-96.98907471,2246.299072,-350.5490723,-374.293457,2024.108276,-470.5986938,-339.5195923,1889.817017,-340.8703613,-376.0844116,2033.341919,0,0,0,0
16820,18,-345.260498,-379.6433716,2025.883545,-296.9425049,-346.1589966,1824.066284,-358.7903442,-101.729187,2255.101563,-349.7393188,-378.0952148,2023.761963,-470.000824,-341.8427734,1890.161987,-340.2098999,-379.8933105,2032.80127,0,0,0,0
16821,18,-346.5269775,-376.9801636,2024.426758,-297.6831055,-345.0460205,1823.423706,-358.9179688,-94.99688721,2244.029297,-351.1182861,-374.7611694,2022.159424,-469.9504089,-339.3757324,1889.901123,-341.2575073,-376.5274048,2031.571045,0,0,0,0
16822,18,-347.5872192,-376.7850342,2025.187012,-297.9143677,-345.3526001,1823.434937,-358.6268921,-95.4732666,2245.196533,-352.1524048,-374.5945435,2022.919434,-470.0888062,-339.4207153,1890.065186,-342.3825073,-376.3456421,2032.360474,0,0,0,0
16823,18,-346.0653076,-372.7543945,2027.968262,-298.8881836,-344.2664795,1823.391602,-356.6901245,-95.41687012,2244.412109,-350.5701294,-370.4873657,2026.014648,-470.3145447,-338.3145142,1890.739014,-341.0524902,-372.3973389,2035.310669,0,0,0,1
16824,18,-347.2470093,-372.9299316,2027.190674,-299.0862427,-344.2019043,1823.257446,-357.4949341,-94.44012451,2243.214844,-351.7215576,-370.5636597,2025.143066,-470.4668884,-338.2883911,1890.795898,-342.1091309,-372.4554443,2034.542969,0,0,0,1
16825,18,-348.3798218,-373.336731,2027.026978,-298.2803955,-343.8441772,1823.435669,-356.6309814,-95.34295654,2245.087646,-353.0420532,-370.9089355,2025.090088,-469.5526733,-338.2913818,1890.876221,-343.2446289,-372.8096924,2034.447021,0,0,0,1
16826,18,-347.2229614,-373.9406738,2027.40625,-298.6853027,-344.0184326,1823.090088,-356.852356,-93.83007813,2242.255859,-351.8920898,-371.4376831,2025.434448,-470.5009766,-338.2963257,1890.284058,-342.0630493,-373.3931885,2034.78186,0,0,0,1
16827,18,-347.5343628,-372.9552612,2029.359375,-298.9519653,-343.5136108,1823.956177,-353.9636841,-96.36096191,2247.717285,-352.2531738,-370.7383423,2027.667603,-469.9734497,-337.8585205,1891.533081,-342.6948853,-372.7120361,2036.684814,0,0,0,1
16828,18,-347.1216431,-373.5048828,2026.616943,-298.918335,-343.7800293,1823.554565,-356.1462402,-95.30822754,2247.457275,-351.7159424,-371.0392456,2024.561279,-470.0534668,-338.0705566,1890.702881,-341.852356,-372.9053345,2033.92749,0,0,0,1
16829,18,-347.1269531,-373.6005249,2026.830078,-298.4795532,-343.6669922,1823.552246,-356.0748291,-95.75305176,2248.845947,-351.7121582,-371.1431885,2024.74939,-469.9649353,-337.8770142,1890.779785,-341.8806152,-373.0165405,2034.106201,0,0,0,1
16830,18,-346.4915771,-377.6848145,2026.903809,-298.3931885,-344.8473511,1824.08374,-355.2329102,-99.45794678,2256.444824,-351.125,-375.7617188,2024.780396,-470.5733337,-339.2327271,1891.165771,-341.3029785,-377.760498,2033.837891,0,0,0,1
16831,18,-347.4008789,-373.5445557,2026.716919,-298.5755615,-343.694397,1823.285522,-355.6396484,-95.55419922,2247.381104,-351.9689941,-371.027771,2024.612793,-469.9298096,-337.7061768,1890.651367,-342.1091919,-372.947937,2034.008057,0,0,0,1
16832,18,-347.2611694,-373.5424805,2026.341187,-298.6837158,-343.6809692,1823,-355.9711914,-95.1027832,2245.806152,-351.859314,-371.0151978,2024.199463,-469.880127,-337.7484741,1890.581177,-341.9869385,-372.9102783,2033.660767,0,0,0,1
16833,18,-347.329834,-374.9846802,2026.39917,-298.7138062,-345.0205078,1824.123413,-356.399231,-96.10345459,2245.320313,-352.1978149,-372.4818726,2024.263672,-470.1734009,-339.3511963,1891.406982,-342.1028442,-374.4842529,2033.748535,0,0,0,1
16834,18,-346.3494263,-378.4834595,2028.06543,-298.1072998,-344.4124146,1824.091187,-357.3466797,-98.61962891,2252.589355,-351.0925293,-376.486145,2025.955078,-470.4696045,-338.3046265,1890.591064,-341.3390503,-378.6421509,2035.061279,0,0,0,1
16835,18,-346.6842041,-378.6383057,2027.182373,-298.4459839,-345.4390869,1823.884644,-353.6066284,-101.5472412,2257.579102,-351.3684082,-376.7489624,2025.010742,-469.5957947,-337.1589355,1890.39209,-341.5856934,-378.791626,2034.005859,0,0,0,1
16836,18,-346.355957,-378.9963989,2028.167236,-299.4468384,-345.2885742,1824.185791,-352.6915283,-100.4683838,2256.410889,-351.0509033,-377.0637207,2026.171509,-469.8369446,-337.1837158,1890.791138,-341.3251343,-379.1400146,2035.147217,0,0,0,1
16837,18,-348.0046997,-373.9082642,2028.377441,-300.0349731,-344.4702148,1823.479736,-350.7823486,-96.77752686,2250.637451,-352.5272217,-371.463623,2026.50293,-469.121582,-337.0336304,1890.829346,-342.8673706,-373.3294067,2035.621826,0,0,0,1
16838,18,-345.3190308,-381.7078857,2026.243408,-299.5921021,-346.7776489,1824.357422,-355.7830811,-102.9047852,2257.612549,-349.8825684,-380.0336304,2024.195068,-470.0214539,-340.8363037,1891.077881,-340.0738525,-381.7905273,2033.135498,0,0,0,1
16839,18,-346.8790894,-377.7894897,2025.931641,-298.7277222,-345.2993164,1823.318115,-356.3815918,-98.84033203,2253.089111,-351.5448608,-375.4619751,2023.58252,-470.2486877,-338.6998291,1890.22998,-341.7207642,-377.4497681,2032.818115,0,0,0,1
16840,18,-347.4909058,-377.7075806,2025.701416,-297.4807129,-344.8270264,1822.950195,-357.0373535,-98.85650635,2253.335938,-352.1613159,-375.3821411,2023.265991,-470.6174316,-338.8641357,1889.952759,-342.2487793,-377.3944092,2032.626709,0,0,0,1
16841,18,-348.3158569,-375.2974243,2025.661133,-296.2648926,-344.1608276,1823.766968,-356.1053467,-97.70507813,2249.625732,-353.0918579,-372.8383789,2023.567871,-470.4074402,-339.7738647,1890.999146,-343.2015991,-374.8097534,2033.00293,0,0,0,1
16842,18,-348.6851807,-379.5709839,2024.126343,-295.2576294,-344.3873291,1823.646851,-357.8557739,-102.6167603,2257.373291,-353.3187256,-377.7738037,2021.992676,-470.1975098,-340.6973877,1890.580811,-343.3820801,-379.5227051,2030.802979,0,0,0,1
16843,18,-348.1015625,-378.1843262,2025.659058,-296.425354,-344.3596802,1823.038208,-355.9020996,-98.65637207,2252.744141,-352.8131104,-375.7962036,2023.348633,-470.4499817,-339.1109009,1889.810669,-342.7192993,-377.8011475,2032.689941,0,0,0,1
16844,18,-345.8252563,-382.0213013,2026.977905,-297.8019409,-344.8082886,1823.15686,-359.7532959,-101.3084106,2256.430664,-350.4723511,-380.4078979,2024.891602,-471.0764771,-341.7731323,1890.542114,-340.7678223,-382.2623291,2033.589966,0,0,0,0
16845,18,-347.3721924,-380.1768799,2025.30542,-297.0750732,-345.5935059,1823.822876,-357.3322754,-102.3087769,2256.320801,-351.9818726,-378.3843994,2023.289795,-470.9568176,-341.2131348,1890.765381,-342.1585693,-380.171814,2031.890381,0,0,0,0
16846,18,-348.9226685,-376.6935425,2025.351685,-297.7190552,-345.1168213,1823.239014,-355.3268433,-99.17871094,2252.663086,-353.4606323,-374.4165649,2023.046143,-470.7919312,-338.862793,1889.996094,-343.6466064,-376.3580933,2032.252441,0,0,0,0
16847,18,-347.9882813,-378.8897095,2027.173218,-297.7805176,-345.3393555,1823.531982,-355.1480103,-99.44836426,2253.899658,-352.6220093,-376.7020264,2025.014771,-470.7533569,-338.9865723,1889.797363,-342.7390747,-378.6882935,2034.118164,0,0,0,0
16848,18,-344.1119995,-382.3396606,2028.092773,-299.2156372,-346.5702515,1823.704102,-353.8294067,-104.4434204,2258.706299,-348.690918,-380.8123169,2026.245117,-471.0658875,-340.3960571,1890.3302,-338.9744873,-382.56073,2035.024048,0,0,0,0
16849,18,-345.6871338,-381.9729004,2025.352661,-299.6286621,-345.9116211,1823.164917,-352.9440918,-103.046814,2257.221924,-350.1191406,-380.1407471,2023.36084,-471.0841064,-340.8366699,1890.029785,-339.8591919,-382.0604248,2032.178955,0,0,0,0
16850,18,-345.9375,-383.1115723,2025.078369,-299.6907959,-345.8164063,1823.083374,-353.7911987,-102.987793,2257.65332,-350.3798218,-381.3079224,2023.099609,-471.2713013,-341.0668945,1890.20874,-340.0787354,-383.2947388,2031.856689,0,0,0,0
16851,18,-345.7109375,-387.6355591,2020.91687,-300.7653198,-347.3114624,1823.355103,-358.5270996,-98.6348877,2245.826416,-350.703125,-386.2606201,2019.197021,-469.7188416,-341.8753052,1890.410889,-340.3150635,-388.479248,2028.201904,0,0,0,0
