id,trial,headFront_x,headFront_y,headFront_z,headFront_confidence,neck_x,neck_y,neck_z,neck_confidence,lowerBack_x,lowerBack_y,lowerBack_z,lowerBack_confidence,leftWrist_x,leftWrist_y,leftWrist_z,leftWrist_confidence,leftShoulder_x,leftShoulder_y,leftShoulder_z,leftShoulder_confidence,leftElbow_x,leftElbow_y,leftElbow_z,leftElbow_confidence
55816,23,-203.9415283,-475.4076538,1968.865479,0.001437117,-61.6463623,-498.519043,1824.688477,0.85359025,-319.2928467,-283.8557129,2084.036377,0.512964,-202.1673584,-480.3258057,1968.779297,0.001503401,-201.6972656,-596.9284058,1906.604248,0.6608728,-202.2155151,-476.3239746,1972.423828,0.001269605
55817,23,-194.0212402,-487.3344116,1967.332275,0.001423202,-56.47283936,-510.1853638,1823.175049,0.87743616,-325.5448608,-262.4193115,2067.859375,0.5331882,-193.6309814,-493.1401367,1967.434814,0.001389385,-192.482666,-618.6525879,1907.422974,0.6668134,-193.322998,-487.7098999,1971.555298,0.001140476
55818,23,-188.7478638,-491.1737671,1964.797852,0.001442992,-49.11993408,-511.4562988,1822.465332,0.8727568,-331.615509,-236.8314819,2049.614014,0.5574049,-188.6383057,-496.5797119,1964.942383,0.001427537,-187.8937378,-624.3687134,1904.605225,0.6720756,-188.7666016,-490.9744873,1968.573486,0.00116454
55819,23,-180.1564331,-485.357666,1963.986328,0.001515052,-40.94311523,-512.4870605,1819.59668,0.87099683,-298.9855652,-284.6942139,2071.045166,0.5042004,-179.87854,-491.5239258,1963.621582,0.001532325,-171.1522827,-636.078125,1903.902832,0.6987707,-179.4637451,-485.1263428,1968.691895,0.001345994
55820,23,-169.8886719,-489.7623901,1958.230469,0.001275212,-39.9185791,-516.0933838,1822.63623,0.8430526,-225.9655457,-412.5725708,2133.891602,0.3568965,-170.5004883,-495.8904419,1956.679932,0.001513931,-177.1755981,-615.9887695,1888.158569,0.70592284,-167.7437744,-489.9883423,1962.626465,0.00112923
55821,23,-165.178833,-496.3504639,1963.335449,0.001311326,-34.37054443,-522.2119751,1821.242554,0.8615842,-228.8747253,-396.296875,2127.165771,0.33648536,-166.0227051,-502.3623047,1961.677734,0.001460164,-171.1735229,-624.4523926,1890.823608,0.68396884,-163.6521606,-495.932312,1967.839111,0.001108042
55822,23,-156.3047485,-497.500061,1964.409424,0.001642234,-28.28369141,-529.0008545,1820.982422,0.83694243,-244.7745056,-379.5181274,2106.67627,0.36576155,-157.5985718,-504.3098755,1962.990112,0.001436409,-166.1516113,-629.5253296,1895.248047,0.660685,-155.1196289,-497.4935913,1969.094238,0.001414802
55823,23,-158.0308228,-507.5510864,1962.306641,0.001387988,-21.63104248,-538.7709961,1822.800781,0.8416853,-223.1340942,-397.166748,2122.321533,0.32800826,-158.3373413,-514.9821777,1961.139648,0.001392261,-152.2423096,-650.2720337,1899.979736,0.65127456,-157.4724731,-507.7206421,1966.390137,0.001209997
55824,23,-161.8242188,-498.5883179,1956.825439,0.001540203,-20.43041992,-545.5802612,1825.452393,0.83208317,-204.5014038,-439.1054077,2145.073242,0.19061103,-160.914978,-507.5125122,1955.980469,0.001444115,-141.6431885,-681.6724243,1905.806641,0.71298474,-159.4993896,-500.2904663,1961.415527,0.001369874
55825,23,-159.3624268,-504.3931274,1956.668457,0.001767282,-14.04394531,-553.7030029,1828.710449,0.8130473,-230.92276,-406.8083496,2110.389893,0.31489918,-158.3425293,-513.5854492,1955.416748,0.001516132,-136.288147,-691.1192627,1907.318848,0.71591437,-156.8428955,-506.3787231,1961.007813,0.001567655
55826,23,-153.7147217,-504.1043091,1961.5,0.001808725,-7.770751953,-560.3034668,1830.881836,0.8153702,-197.843689,-445.3046265,2133.622559,0.30549312,-152.7306519,-512.8432617,1960.374023,0.001675224,-130.4508057,-695.9005127,1908.890503,0.71785253,-151.5966797,-505.2355347,1965.887451,0.00159962
55827,23,-143.3256226,-510.7426147,1970.312988,0.001432273,-4.649353027,-559.9230957,1830.278198,0.84088737,-228.3949585,-394.2193604,2101.359375,0.37639198,-142.8407593,-519.0664063,1969.266602,0.001536679,-129.828064,-686.5908813,1913.210449,0.7268443,-141.6793823,-511.1955566,1974.758789,0.001223013
55828,23,-113.4125977,-552.6236572,1996.853394,0.00150088,0.153625488,-563.7875977,1833.958252,0.83292985,-252.0142517,-368.9692383,2079.008789,0.47291088,-114.1276855,-559.8363037,1995.233521,0.001397669,-122.5619507,-691.0568848,1922.831787,0.6699216,-112.8226929,-552.0814209,2001.239502,0.001250165
55829,23,-109.6135864,-564.0072632,2000.016846,0.001461604,2.798583984,-572.2154541,1837.301514,0.8379542,-245.6994629,-401.519043,2097.25293,0.44705993,-110.7241821,-570.8936768,1998.497314,0.001374669,-118.8505249,-696.5456543,1925.591309,0.66359925,-108.9093018,-563.994873,2004.285645,0.001286573
55830,23,-95.57611084,-582.3670654,2005.376221,0.001456808,8.237976074,-575.262146,1840.974121,0.8664722,-206.8405151,-469.6364136,2137.899414,0.43017465,-98.14434814,-587.6434937,2004.105469,0.001403293,-126.3716736,-680.5930786,1920.079346,0.6457103,-95.04174805,-581.7718506,2009.643066,0.001249055
55831,23,-94.40362549,-587.348999,2010.188477,0.001454745,12.12902832,-580.1020508,1841.550171,0.8735959,-132.1445923,-580.6334839,2208.636719,0.31928396,-95.82818604,-593.800354,2008.550293,0.001464811,-116.4998169,-698.9825439,1921.392578,0.7075058,-91.86523438,-587.9561768,2014.873779,0.001256748
55832,23,-93.86181641,-585.8035889,2006.432983,0.001285809,11.07531738,-582.5328369,1839.486816,0.86431384,-249.642395,-368.809082,2070.515625,0.4349986,-95.4588623,-590.8422852,2005.050781,0.001408674,-109.9998779,-703.4962158,1922.697998,0.6705029,-91.99395752,-584.8598022,2010.983276,0.001073678
55833,23,-104.4978638,-589.0599365,1994.980103,0.001365916,15.612854,-595.0285645,1848.05957,0.8383215,-299.3010559,-341.1192017,2038.554932,0.48748615,-106.5072632,-595.2047729,1993.195313,0.00139633,-112.2614746,-714.0064697,1924.284424,0.65517867,-104.2293701,-588.2075195,1998.454346,0.001266756
55834,23,-100.5402222,-593.1969604,1990.305054,0.001618406,19.1496582,-600.3121338,1850.547607,0.84673274,-285.0319519,-364.3475342,2041.760498,0.50512236,-101.958252,-601.3529053,1988.072632,0.001528657,-97.7298584,-735.2712402,1925.767456,0.636496,-100.2020264,-592.7843628,1993.270264,0.00145215
55835,23,-115.4004517,-569.0583496,1996.752319,0.001446471,24.40362549,-604.2154541,1853.325195,0.8400342,-303.6933899,-261.8088379,2009.349609,0.51423347,-114.7252197,-576.4116821,1995.19165,0.001440094,-95.83795166,-735.5994873,1938.996338,0.73646635,-114.963562,-567.5975342,2000.011841,0.00132524
55836,23,-135.878418,-558.2646484,1998.240234,0.001428095,30.36456299,-600.3320313,1850.657104,0.84027386,-307.7093811,-259.8734741,2045.098633,0.52946883,-134.2047729,-564.8577881,1996.53125,0.001458557,-104.8065186,-727.7946777,1936.275269,0.7548017,-133.6838379,-557.3582764,2001.371826,0.001239819
55837,23,-149.3311768,-540.5061646,1985.89624,0.001686505,28.98419189,-608.2304688,1855.340698,0.82717377,-289.9724731,-315.9885864,2075.933594,0.40448576,-147.7228394,-549.7901611,1983.961182,0.00152882,-108.1483765,-726.7774658,1935.751221,0.744695,-148.8297119,-541.3214722,1989.807861,0.001552152
55838,23,-150.1470947,-526.4109497,1976.460693,0.00175307,30.34326172,-606.4969482,1848.002808,0.8479678,-278.1607666,-312.0935669,2067.009521,0.38975117,-147.5106201,-535.7279663,1975.464355,0.001667138,-108.5341797,-723.3674316,1923.446167,0.7679088,-147.5249634,-528.1552734,1980.39917,0.001627383
55839,23,-150.3065186,-529.6541748,1973.074707,0.001819205,30.00848389,-606.7967529,1849.590454,0.84475684,-275.227478,-319.2304077,2060.457764,0.32865658,-147.4807129,-538.7974243,1972.262939,0.001693073,-103.6639404,-725.5466309,1922.765869,0.76187223,-147.5155029,-531.192749,1976.463379,0.001697131
55840,23,-151.7304077,-527.6547852,1972.41748,0.001702158,32.88690186,-607.6931152,1849.273315,0.85032403,-250.3556213,-360.553833,2083.753174,0.3022068,-148.6151123,-536.8984375,1971.624023,0.001654551,-101.461853,-729.7995605,1922.810181,0.74792665,-148.8687744,-529.0007324,1975.92749,0.001581168
