time_stamp_m,time_stamp_s,id,trial,H_headTop_x,H_headTop_y,H_headTop_z,H_neck_x,H_neck_y,H_neck_z,H_tailBase_x,H_tailBase_y,H_tailBase_z,H_lEar_x,H_lEar_y,H_lEar_z,H_lShoulder_x,H_lShoulder_y,H_lShoulder_z,H_lElbow_x,H_lElbow_y,H_lElbow_z,H_lWrist_x,H_lWrist_y,H_lWrist_z,H_lHip_x,H_lHip_y,H_lHip_z,H_rEar_x,H_rEar_y,H_rEar_z,H_rShoulder_x,H_rShoulder_y,H_rShoulder_z,H_rHip_x,H_rHip_y,H_rHip_z,s_1,s_2,s_3,s_4,b_1,b_2,b_3,b_4
8.168666667,490.12,24506,1,1.578125,-688.0267334,1749.214111,-126.3637085,-504.4292603,1832.399902,-368.8632507,-167.9866333,2196.258301,-131.7410889,-635.1659546,1768.967529,-295.0571899,-577.569458,1887.849609,-210.9387817,-500.113678,1972.312012,-209.5710144,-499.2008972,1973.204834,-465.0306396,-253.6484375,2191.41748,1.968811035,-575.7092285,1810.726074,0.224365234,-454.321228,1921.612305,-231.340271,-159.4572144,2211.544434,1,1,1,1,0,0,0,0
8.169,490.14,24507,1,8.881347656,-693.9393311,1748.543945,-121.036377,-511.0575562,1830.513428,-368.0171509,-172.9561768,2193.050781,-124.989624,-638.9738159,1765.7771,-289.2185059,-586.9472656,1886.280762,-208.222229,-496.3947754,1977.542969,-206.8167114,-495.8334656,1978.131714,-465.4365845,-258.4390259,2188.34375,9.59375,-583.3879395,1810.345215,3.707519531,-456.866272,1923.873657,-230.4641113,-166.8209229,2204.371826,1,1,1,1,0,0,0,0
8.169333333,490.16,24508,1,15.76318359,-697.7844849,1744.305176,-117.0334473,-518.7637939,1827.959229,-368.1925049,-178.1386719,2190.175781,-119.6956177,-647.7081299,1764.29541,-286.5160522,-591.6931152,1883.910278,-198.3641357,-505.2416687,1980.209961,-197.0189209,-504.8104858,1981.04541,-465.2247925,-263.6738281,2183.517578,14.8392334,-587.5838013,1809.773926,4.526977539,-457.71698,1921.656982,-228.5256653,-178.0249023,2202.843018,1,1,1,1,0,0,0,0
8.169666667,490.18,24509,1,19.8550415,-706.5262451,1743.456543,-102.8478394,-541.1290283,1836.80957,-365.3081055,-182.4674683,2175.817871,-111.659668,-659.9805908,1766.102173,-276.7550049,-602.8989258,1875.484131,-197.7957764,-498.3825073,1964.045898,-196.5975342,-497.9632568,1964.850708,-461.4651184,-269.4819336,2172.953125,23.57849121,-595.6340332,1810.112915,7.852172852,-461.1100464,1924.361816,-228.7047119,-182.4231567,2191.849365,1,1,1,1,0,0,0,0
8.17,490.2,24510,1,33.98046875,-708.802124,1743.574829,-95.04064941,-545.7927246,1834.526367,-358.4081421,-186.2344971,2169.47168,-102.4418335,-663.8129272,1762.514526,-269.7470093,-601.1947632,1872.846924,-185.3688049,-505.1135864,1965.914063,-183.7664185,-504.7976685,1966.963135,-454.2070923,-272.6738892,2160.63623,31.41210938,-600.8686523,1808.842285,8.112548828,-468.4298706,1930.876587,-217.8791504,-196.3476563,2183.134766,1,1,1,1,0,0,0,0
8.170333333,490.22,24511,1,41.75720215,-719.1916504,1744.279541,-87.74194336,-554.583252,1832.747314,-354.4829712,-191.1160889,2157.033691,-92.33325195,-678.5976563,1759.317383,-257.142334,-625.4836426,1875.173706,-182.0620117,-511.4790649,1966.252197,-180.5967407,-511.1481323,1967.102295,-451.2320251,-277.4604492,2147.460938,39.2845459,-607.3781128,1809.500854,11.10961914,-469.4649658,1930.858643,-213.6920776,-198.5252686,2176.616455,1,1,1,0,0,0,0,0
8.170666667,490.24,24512,1,50.7722168,-721.8640747,1744.264893,-82.58978271,-562.4219971,1831.047974,-357.0564575,-197.3319092,2146.18457,-85.99255371,-685.9862061,1757.452148,-245.4592285,-640.7058105,1880.267944,-177.6474609,-525.4981689,1960.993164,-176.4934692,-525.0436401,1962.021484,-454.3533325,-287.1446533,2139.90625,43.33740234,-611.0908813,1807.985474,13.67419434,-476.6467896,1930.459106,-215.7724304,-206.2738647,2164.469482,1,1,1,1,0,0,0,0
8.171,490.26,24513,1,67.11297607,-722.6668701,1741.630249,-75.82971191,-568.5285645,1825.899902,-356.111969,-207.9328003,2149.479004,-73.4486084,-692.8826904,1753.458252,-239.1040039,-646.9902954,1876.049561,-176.6032104,-527.7518311,1962.679321,-175.3980713,-527.4442139,1963.777832,-455.8456421,-296.1229248,2142.390137,55.03161621,-620.9591064,1811.252441,15.61444092,-484.7601318,1926.314941,-218.7241516,-213.40802,2179.180908,1,1,1,1,0,0,0,0
8.171333333,490.28,24514,1,76.61914063,-724.1867676,1739.218262,-67.69476318,-572.914978,1824.760132,-356.3436279,-213.661499,2143.51416,-63.86016846,-697.6243896,1749.577637,-235.739624,-657.6262207,1871.566528,-180.8036499,-526.505249,1961.81958,-179.2718506,-526.2267456,1962.931885,-461.9490967,-306.5554199,2141.416016,63.24884033,-623.4122314,1810.825806,22.88720703,-486.6328125,1929.865723,-214.6255493,-222.4970093,2165.157471,1,1,1,1,0,0,0,0
8.171666667,490.3,24515,1,83.84661865,-728.6141968,1742.685059,-59.78302002,-578.4442139,1830.888428,-352.280426,-217.4093018,2134.878906,-58.01953125,-703.3105469,1757.022949,-224.4924316,-664.0610352,1870.624023,-170.8143311,-523.9040527,1950.738281,-169.1104126,-523.6621094,1951.718628,-449.2642517,-302.0880127,2127.349609,70.23596191,-630.723938,1813.376465,23.7557373,-486.5861206,1928.808472,-212.8389282,-223.645752,2152.890869,1,1,1,1,0,0,0,0
