id,trial,H_headFront_x,H_headFront_y,H_headFront_z,H_neck_x,H_neck_y,H_neck_z,H_lowerBack_x,H_lowerBack_y,H_lowerBack_z,H_leftWrist_x,H_leftWrist_y,H_leftWrist_z,H_leftShoulder_x,H_leftShoulder_y,H_leftShoulder_z,H_leftElbow_x,H_leftElbow_y,H_leftElbow_z,s_1,s_2,s_3,s_4
49492,22,-347.9745483,-284.4851074,2036.856934,-231.6390991,-307.6444092,1811.276123,-303.475708,-108.1507568,2264.814697,-350.3609009,-284.3939209,2035.369385,-426.5475464,-311.3599243,1869.427979,-346.0662231,-286.130249,2044.56958,1,1,1,1
49493,22,-350.9458008,-284.4798584,2035.396484,-233.0147095,-308.4802856,1812.061035,-302.9472656,-107.4597168,2263.83667,-353.0792236,-283.7874146,2033.675537,-422.2887573,-315.6657104,1867.844482,-348.5033569,-284.9511719,2043.426758,1,1,1,1
49494,22,-353.0410767,-284.980835,2035.139648,-233.8891602,-309.7685547,1813.959229,-298.5272217,-115.3338013,2277.248291,-355.1792603,-284.9959717,2033.723389,-421.3768311,-311.7020569,1866.71875,-350.5048218,-285.796814,2043.324463,1,1,1,1
49495,22,-348.1707153,-282.1842041,2038.706909,-236.0383301,-310.0064392,1813.164795,-304.0638428,-110.2330322,2255.179199,-351.2716675,-283.1001587,2036.421631,-427.7028809,-321.9582214,1869.878418,-346.4594727,-283.154541,2046.310059,1,1,1,1
49496,22,-335.963623,-273.1707153,2042.699707,-239.4838867,-315.5140076,1811.047485,-293.1241455,-115.9968262,2263.91748,-339.1713867,-274.0201416,2040.570801,-425.7348938,-323.6619568,1871.518433,-333.0571899,-272.571167,2050.906982,1,1,1,1
49497,22,-334.1930542,-272.6207886,2048.20459,-243.2487793,-319.9934082,1813.847046,-299.2972412,-115.3774414,2259.703369,-338.0770874,-273.9931641,2045.729004,-433.7421265,-331.599762,1875.659424,-331.7495728,-272.1539917,2055.830078,1,1,1,1
49498,22,-335.9431152,-269.5345459,2049.421387,-246.9381714,-323.9416504,1815.084717,-296.6803589,-114.28125,2260.401367,-339.524292,-270.84198,2046.984131,-434.1079407,-336.4967041,1876.637329,-333.0606079,-268.9871216,2056.838867,1,1,1,1
49499,22,-335.6133423,-275.630249,2038.775391,-246.7420654,-326.9668579,1815.318359,-298.371521,-110.5670776,2253.601318,-338.8339233,-277.0249634,2036.848999,-429.2131958,-332.0610352,1878.898071,-333.9399414,-276.5512085,2046.05835,1,1,1,1
49500,22,-331.7281494,-277.1497192,2054.438477,-251.4570923,-335.2251892,1818.437012,-298.0147705,-115.5882568,2259.759033,-335.8981934,-278.8299561,2051.995361,-443.1862793,-351.5471802,1885.245361,-329.7305908,-275.7047119,2061.23584,1,1,1,1
49501,22,-336.1068115,-298.7212524,2049.370117,-251.0732422,-339.116333,1819.396729,-305.4193115,-112.9754639,2251.43042,-341.3287354,-300.1849365,2047.121826,-443.1035156,-351.0013733,1886.189453,-334.317627,-298.7576294,2056.546631,1,1,1,1
