,orginal,shuffled,,,,
_h100_val14_oc,0.918494667,0.918494667,TRUE,,_h90_val14_oc,0.929731846
_h110_val14_oc,0.907900186,0.907900186,TRUE,,_h100_val14_oc,0.918494667
_h120_val14_oc,0.898965664,0.898965664,TRUE,,_h110_val14_oc,0.907900186
_h130_val14_oc,0.890250605,0.890250605,TRUE,,_h120_val14_oc,0.898965664
_h140_val14_oc,0.880471762,0.880471762,TRUE,,_h130_val14_oc,0.890250605
_h150_val14_oc,0.869875849,0.869875849,TRUE,,_h140_val14_oc,0.880471762
_h0_val15_oc,0.94149587,0.94149587,TRUE,,_h150_val14_oc,0.869875849
_h10_val15_oc,0.943966865,0.943966865,TRUE,,_h0_val15_oc,0.94149587
_h20_val15_oc,0.947307446,0.947307446,TRUE,,_h10_val15_oc,0.943966865
_h30_val15_oc,0.952108532,0.952108532,TRUE,,_h20_val15_oc,0.947307446
_h40_val15_oc,0.954039813,0.954039813,TRUE,,_h30_val15_oc,0.952108532
_h50_val15_oc,0.954821857,0.954821857,TRUE,,_h40_val15_oc,0.954039813
_h60_val15_oc,0.952658828,0.952658828,TRUE,,_h50_val15_oc,0.954821857
_h70_val15_oc,0.948137819,0.948137819,TRUE,,_h60_val15_oc,0.952658828
_h80_val15_oc,0.941076043,0.941076043,TRUE,,_h70_val15_oc,0.948137819
_h90_val15_oc,0.930181887,0.930181887,TRUE,,_h80_val15_oc,0.941076043
_h100_val15_oc,0.918304788,0.918304788,TRUE,,_h90_val15_oc,0.930181887
_h110_val15_oc,0.908013205,0.908013205,TRUE,,_h100_val15_oc,0.918304788
_h120_val15_oc,0.899547139,0.899547139,TRUE,,_h110_val15_oc,0.908013205
_h130_val15_oc,0.890737601,0.890737601,TRUE,,_h120_val15_oc,0.899547139
_h140_val15_oc,0.882426824,0.882426824,TRUE,,_h130_val15_oc,0.890737601
_h150_val15_oc,0.874436683,0.874436683,TRUE,,_h140_val15_oc,0.882426824
,,,,,_h150_val15_oc,0.874436683
