H_id,H_trial,H_headFront_x,H_headFront_y,H_headFront_z,H_neck_x,H_neck_y,H_neck_z,H_lowerBack_x,H_lowerBack_y,H_lowerBack_z,H_leftWrist_x,H_leftWrist_y,H_leftWrist_z,H_leftShoulder_x,H_leftShoulder_y,H_leftShoulder_z,H_leftElbow_x,H_leftElbow_y,H_leftElbow_z
69839,9,-275.6444092,-237.3143921,2029.440674,-156.763855,-221.2645264,1810.493896,-351.8722839,-58.32550049,2261.393555,-288.734314,-235.7866211,2032.031494,-325.7027283,-287.2836914,1872.723511,-338.7904663,-423.0853882,2043.694824
69840,9,-270.3274536,-241.5505371,2018.843384,-155.0291748,-229.6591187,1809.250732,-349.7368469,-57.22961426,2258.805176,-285.5184326,-242.2411499,2020.470825,-321.7192383,-300.7574768,1872.164795,-346.9402161,-435.6292725,2052.533447
69841,9,-258.6710815,-224.3007202,2005.711426,-154.0149536,-238.3788452,1815.69165,-344.4963989,-59.47930908,2246.285156,-274.8120728,-234.5692139,2011.580322,-319.7983093,-310.8557129,1877.508179,-330.3734131,-458.5991211,2051.653564
69842,9,-258.9584961,-247.321106,1997.349854,-151.8515625,-249.5808105,1815.893555,-354.8764038,-59.80273438,2238.3396,-272.9608765,-251.6396484,2002.12854,-318.6509399,-321.960907,1878.438232,-313.5064087,-474.6853333,2045.199951
69843,9,-253.4356689,-267.0313721,2013.011719,-146.0210571,-261.3833618,1814.0802,-348.9580078,-57.91766357,2238.734619,-268.2817993,-266.2297974,2015.750854,-303.6287537,-336.6250305,1879.753174,-312.9642334,-469.3841248,2042.113281
69844,9,-244.0072021,-310.4304199,2050.331787,-140.87854,-264.6209717,1823.638672,-348.0406799,-64.07525635,2245.915039,-258.5163574,-304.1673584,2053.711182,-299.7531738,-350.2793579,1892.213623,-301.3579407,-508.5354614,2048.415039
69845,9,-222.1452637,-334.9622803,2058.770508,-140.8262939,-282.855835,1826.130859,-348.3406067,-67.48602295,2260.243652,-234.3539429,-331.3136597,2056.96582,-301.940918,-345.0055542,1891.726685,-302.267334,-519.939209,2064.557129
69846,9,-227.2374878,-363.6569824,2066.206787,-137.7207642,-298.2360229,1830.045532,-344.9986877,-64.55151367,2247.79248,-235.7382202,-360.2125244,2063.288574,-297.9683533,-368.5718384,1897.359375,-311.2663574,-554.3874512,2074.498047
69847,9,-226.5113525,-360.4501343,2069.546631,-125.630249,-305.8226929,1828.480591,-331.2563782,-69.34356689,2246.392578,-237.5663452,-358.2241211,2068.308594,-280.3838501,-396.5805664,1900.063843,-303.164032,-566.5175781,2069.099609
69848,9,-237.4842529,-364.7805176,2050.016357,-128.3250732,-322.5289917,1832.131104,-339.1654053,-78.20239258,2222.777588,-248.0395508,-364.6598511,2051.89502,-275.0506592,-408.7438354,1909.532593,-318.8019104,-606.1466675,2090.064453
69849,9,-257.3043823,-391.5847778,2046.11792,-131.9019775,-333.0136719,1826.266357,-339.4338684,-77.86358643,2245.259766,-263.4415283,-394.2936401,2047.224609,-276.2888794,-426.3961792,1912.805908,-304.4960327,-637.4501343,2114.299072
69850,9,-241.991394,-430.5634766,2064.544922,-126.3070068,-349.5559082,1829.628906,-333.8313599,-83.76318359,2266.207275,-252.7053833,-434.4146729,2064.39624,-275.5484619,-442.1395874,1909.864502,-297.9854431,-633.0939941,2110.977539
69851,9,-243.2498779,-457.9896851,2065.06958,-126.640686,-359.7145996,1832.345947,-334.9666748,-89.35839844,2249.617432,-254.8545532,-453.9586792,2065.584961,-273.286377,-452.7732544,1914.398193,-291.4529419,-647.7632446,2106.718018
69852,9,-224.6364746,-466.3690796,2087.844482,-124.6965332,-369.491272,1835.416748,-319.8617249,-86.09558105,2211.051758,-246.9258423,-464.7625732,2081.625977,-270.6679077,-467.6143188,1919.269531,-288.5856934,-667.7228394,2105.546631
69853,9,-234.8447266,-465.5092773,2077.226074,-125.9089355,-375.6224365,1843.967529,-311.7672424,-87.86486816,2182.952881,-255.0482788,-465.1470337,2077.119873,-265.4263306,-477.9660645,1926.236328,-295.0772705,-671.1665649,2114.196289
69854,9,-223.2471313,-469.9890747,2076.284912,-122.3391724,-381.9862671,1838.457642,-317.8552856,-100.9864502,2203.108887,-248.2327881,-466.1975708,2077.351318,-266.7618408,-480.3828735,1927.131836,-299.1988831,-675.1159668,2110.790771
69855,9,-214.539856,-473.0856934,2078.20459,-121.8310547,-391.8144531,1834.462891,-345.5053711,-165.1925659,2249.996094,-241.3095703,-469.9750366,2082.629639,-267.7104492,-484.5396729,1926.4823,-298.8276062,-672.8522339,2109.365234
69856,9,-233.2283325,-477.8149414,2083.582275,-122.4794922,-403.1497192,1837.428345,-328.4933167,-109.1035156,2205.937012,-253.0987549,-475.612915,2080.446045,-269.7970581,-494.4440308,1927.257446,-294.460144,-686.9771729,2109.386963
69857,9,-221.4157104,-493.2333374,2079.811035,-110.2887573,-419.2178345,1844.592041,-326.8056946,-122.1733398,2217.944824,-244.470459,-487.2202759,2084.576416,-266.1409302,-502.277771,1930.78833,-295.580719,-699.7735596,2111.66333
69858,9,-226.7542114,-496.4967041,2073.464355,-110.6467285,-438.7902832,1858.741455,-327.2276611,-115.5439453,2201.683105,-248.7623901,-493.7138062,2075.345459,-266.1618652,-518.7247925,1930.262207,-290.3267517,-704.5157471,2118.306885
69859,9,-241.1939697,-476.8483887,2068.116211,-121.977478,-445.9907837,1851.79248,-325.9224854,-113.5241699,2198.458252,-255.4296265,-481.6436768,2067.503906,-266.3082886,-520.9145508,1923.647217,-288.9933472,-691.473877,2125.409668
69860,9,-228.8887939,-475.7416992,2069.287354,-115.4712524,-450.7559814,1847.245605,-326.1730957,-121.5805664,2191.96582,-247.3203735,-483.2698975,2070.14502,-265.1418457,-534.7114258,1926.396606,-284.6781616,-698.5006714,2133.776367
69861,9,-225.2609863,-481.9091797,2070.817383,-110.4767456,-465.2661133,1847.067017,-325.722168,-129.0653687,2190.219238,-242.8203125,-488.6611328,2068.08252,-264.4598389,-546.1837158,1927.737549,-288.2548218,-705.1912842,2130.832031
69862,9,-223.5792236,-486.411499,2065.706543,-112.2828979,-469.4101563,1839.825439,-326.6794739,-127.8768311,2180.149902,-243.3127441,-489.5869751,2065.801758,-266.9038696,-552.7929688,1924.44458,-290.4731445,-708.5718994,2127.237061
69863,9,-229.9581909,-481.7803345,2058.525879,-114.982605,-466.9040527,1835.101318,-327.6708069,-135.3292236,2145.058105,-247.241333,-484.8613281,2063.327637,-267.30896,-554.4309082,1923.393066,-291.5075684,-711.1729736,2123.76709
69864,9,-231.8440552,-491.62146,2069.654297,-117.12854,-469.7285767,1840.260132,-328.7206116,-139.1705322,2142.736572,-252.4588623,-494.4082031,2072.099854,-270.6467285,-558.6549072,1924.093262,-296.0519104,-720.2794189,2128.71875
69865,9,-230.4075317,-499.9483032,2062.703857,-114.3071899,-487.2720337,1840.494019,-336.7631226,-140.5691528,2173.337402,-246.1732178,-504.3844604,2064.61499,-266.1611328,-568.7365723,1923.814087,-293.1910706,-725.8260498,2128.678467
69866,9,-236.7127686,-495.3972168,2058.878418,-117.2871704,-486.4893799,1834.871094,-331.538147,-140.0321045,2165.147705,-250.1924438,-500.7999878,2060.756592,-266.9996338,-571.2508545,1922.169556,-291.6626587,-723.199707,2124.870605
69867,9,-245.2442017,-486.6362305,2061.624512,-122.965271,-480.5890503,1838.428711,-327.3330688,-140.5621948,2131.994629,-257.4378662,-490.173645,2063.85083,-266.6072998,-570.5535889,1922.23999,-290.7495422,-717.1935425,2121.042969
69868,9,-245.4362793,-487.0265503,2054.876221,-123.5695801,-481.3848877,1835.238525,-330.7304077,-144.2232666,2128.018066,-256.7598877,-489.8286133,2057.2146,-269.760437,-582.8238525,1922.254761,-295.2949524,-726.5090332,2126.24707
69869,9,-251.8080444,-485.2923584,2056.422363,-123.8915405,-482.394104,1832.081055,-330.0559998,-147.1266479,2133.439941,-260.5056763,-487.9645996,2055.952637,-272.4586792,-585.0631714,1923.025391,-298.0123901,-728.2741699,2127.60791
69870,9,-246.9417114,-478.9356689,2056.618896,-121.4765625,-489.678833,1835.408203,-331.3198853,-144.4285889,2127.042969,-258.6435547,-483.5569458,2055.73584,-273.1210938,-590.6785889,1924.690308,-296.0438843,-730.7828979,2129.339844
69871,9,-248.0460205,-483.9054565,2047.62439,-122.4085693,-492.4785767,1834.390381,-331.4916077,-151.0913696,2126.022217,-258.7894897,-490.4873047,2047.551514,-271.0875854,-589.3787842,1920.310913,-300.5111084,-737.8896484,2142.38501
69872,9,-241.5423584,-486.8130493,2042.729736,-122.2400513,-498.1706543,1831.533325,-334.7059937,-153.3359985,2127.479736,-255.9925537,-492.1943359,2046.711304,-272.6357422,-594.3432617,1919.769897,-303.4795837,-743.2194824,2144.09375
69873,9,-243.1153564,-499.2995605,2050.567383,-127.2180176,-497.6434937,1827.201782,-338.6204834,-154.9353027,2127.905518,-258.0325928,-505.5400391,2053.463623,-271.2637939,-584.8093262,1921.444336,-302.8073425,-730.6625977,2126.441406
69874,9,-244.2453003,-489.7633667,2053.098145,-127.4014893,-503.8527222,1833.061279,-335.963501,-154.2822876,2120.823975,-262.9613037,-496.6516113,2053.629395,-276.821167,-587.7940674,1918.972412,-301.8789673,-732.5197754,2127.287842
69875,9,-251.4453125,-488.1427002,2056.080811,-123.8344727,-512.0268555,1836.948608,-337.9996948,-156.0831299,2123.192871,-267.196228,-495.8626709,2056.367188,-279.6112061,-592.005249,1918.455811,-300.1600037,-738.4407959,2133.805664
69876,9,-254.7957764,-491.6782227,2052.575195,-126.9249268,-510.885376,1836.709961,-337.1309509,-155.9088135,2118.494141,-269.5136719,-494.8126831,2053.537109,-279.3519897,-602.3007202,1920.053955,-304.3171387,-755.3549805,2149.001465
69877,9,-238.434082,-479.8119507,2037.382324,-124.0049438,-513.2873535,1829.899292,-350.6032715,-166.3637695,2125.819336,-258.8453979,-483.4766846,2041.669434,-277.250061,-601.9085083,1917.098511,-302.0614014,-758.4865723,2150.297852
69878,9,-251.3653564,-476.5754395,2040.585205,-122.458252,-516.6417847,1831.738525,-352.117218,-167.9702148,2126.658691,-266.9054565,-479.7481079,2042.696411,-279.1010742,-600.7859497,1922.749512,-299.6630249,-754.6978149,2145.620117
69879,9,-253.2783813,-466.5267334,2030.54187,-123.9868774,-522.5688477,1828.324219,-370.2518005,-233.1749878,2153.568359,-269.7061768,-475.8599854,2032.680786,-286.6489868,-600.0119019,1920.544434,-304.8104858,-750.8794556,2134.350586
69880,9,-257.6246338,-470.8082275,2028.766357,-130.0248413,-518.7216797,1825.763916,-400.742218,-220.1764526,2157.28418,-268.0546875,-480.024231,2032.932129,-279.7418823,-610.2009277,1919.16333,-309.4369812,-771.0126953,2158.155273
69881,9,-249.9508667,-474.5932617,2027.621704,-129.5603027,-520.9597168,1823.978394,-400.3578491,-208.0355225,2155.046387,-261.2677002,-484.5166626,2032.245361,-277.6368408,-609.3588867,1915.299805,-303.8353271,-771.4806519,2155.886475
69882,9,-244.4312744,-495.4979858,2044.664795,-127.588623,-525.809021,1821.933228,-360.9909973,-174.4146118,2121.937988,-261.5145264,-498.9557495,2037.926514,-281.2750854,-612.1629639,1909.516846,-292.7976074,-758.6773071,2115.491455
69883,9,-241.569397,-496.8013306,2044.704834,-127.2765503,-529.7103271,1822.984009,-368.3930664,-178.9000854,2119.267822,-260.4638062,-499.8106689,2038.006226,-281.6121216,-611.9063721,1907.752319,-287.0721436,-755.6678467,2103.636963
69884,9,-237.9658813,-498.4924927,2033.143921,-130.1734009,-535.0656738,1817.279907,-369.0470581,-183.7282104,2106.719238,-256.9363403,-500.0053101,2027.350098,-283.4309692,-611.0214844,1901.110596,-287.2150269,-757.1913452,2096.768555
69885,9,-245.0078735,-493.529541,2018.982788,-131.9975586,-538.1557007,1811.787842,-368.8950195,-185.0195313,2108.683105,-258.6852417,-500.2489624,2015.693237,-285.7880249,-611.651062,1901.389893,-307.7095642,-771.7034912,2133.022217
69886,9,-246.1541748,-491.6693726,2015.119629,-133.0756836,-539.7872925,1812.229004,-366.8682251,-184.5531006,2104.864502,-259.5975342,-500.0561523,2013.965698,-284.4199829,-620.3619385,1903.142822,-304.6592407,-778.8292236,2136.419678
69887,9,-250.8905029,-507.7677612,2008.21875,-134.7266846,-540.7695923,1816.474609,-365.1633911,-184.171936,2107.069336,-260.784668,-513.7473755,2009.895508,-296.1640625,-608.0270996,1912.293701,-322.8569336,-753.4219971,2145.659668
