,shift,val_set,s_model,sm_model,smh_model
s56_val7,56,7,0.934745763,0.978389831,0.975
s61_val7,61,7,0.92991453,0.973931624,0.970512821
s66_val7,66,7,0.925,0.969827586,0.965948276
s71_val7,71,7,0.92,0.965217391,0.962173913
s76_val7,76,7,0.914912281,0.961403509,0.95745614
s81_val7,81,7,0.909734513,0.956637168,0.953097345
s1_val8,1,8,0.933420366,0.958877285,0.954308094
s6_val8,6,8,0.925925926,0.961640212,0.963624339
s11_val8,11,8,0.918230563,0.963806971,0.971849866
s16_val8,16,8,0.910326087,0.963315217,0.973505435
s21_val8,21,8,0.902203857,0.959366391,0.973140496
s26_val8,26,8,0.893854749,0.955307263,0.969273743
s31_val8,31,8,0.885269122,0.95184136,0.96529745
s36_val8,36,8,0.876436782,0.947557471,0.961206897
s41_val8,41,8,0.867346939,0.943148688,0.95845481
s46_val8,46,8,0.857988166,0.939349112,0.954142012
s51_val8,51,8,0.848348348,0.934684685,0.943693694
s56_val8,56,8,0.838414634,0.923018293,0.932926829
s61_val8,61,8,0.828173375,0.9125387,0.921826625
s66_val8,66,8,0.817610063,0.900157233,0.908805031
s71_val8,71,8,0.806709265,0.888178914,0.896166134
s76_val8,76,8,0.795454545,0.874188312,0.882305195
s81_val8,81,8,0.783828383,0.860561056,0.867986799
s1_val9,1,9,0.951827243,0.963870432,0.96013289
s6_val9,6,9,0.947236181,0.969849246,0.966080402
s11_val9,11,9,0.942567568,0.974662162,0.971706081
s16_val9,16,9,0.937819421,0.980834753,0.977427598
s21_val9,21,9,0.932989691,0.984965636,0.983676976
s26_val9,26,9,0.928076256,0.986568458,0.986568458
s31_val9,31,9,0.923076923,0.988199301,0.988636364
s36_val9,36,9,0.917989418,0.987213404,0.989858907
s41_val9,41,9,0.912811388,0.985320285,0.989323843
s46_val9,46,9,0.907540395,0.982046679,0.984290844
s51_val9,51,9,0.902173913,0.975543478,0.97826087
s56_val9,56,9,0.896709324,0.968921389,0.972120658
s61_val9,61,9,0.892527675,0.963099631,0.966328413
s66_val9,66,9,0.889199255,0.959031657,0.961359404
s71_val9,71,9,0.885808271,0.953947368,0.956766917
s76_val9,76,9,0.882352941,0.948766603,0.95256167
